Identifier,Edition Statement,Place of Publication,Date of Publication,Publisher,Title,Author,Contributors,Corporate Author,Corporate Contributors,Former owner,Engraver,Issuance type,Flickr URL,Shelfmarks
2743125,,London,1812,E. Wilson,"R---y---l  Stripes; or, a kick from Yar-h  to Wa-s ; with the particulars of an expidition  to Oat---ds , and the Sprained Ancle: a poem","P, ","Conway, Francis Charles Seymour , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002743125,British Library HMNTS 11641.cc.32.(2.)|British Library HMNTS 11641.cc.31.(1.)|British Library HMNTS C.131.d.2.(4.)
2743126,,London,1812,E. Wilson,"The R---l  First-Born ; or, the baby out of his leading-strings: containing the particulars of a P-y  Confirmation by the B-p of O-g : introducing old friends with new faces: a poem ","P, ","Daniel, George , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002743126,British Library HMNTS 11641.cc.32.(3.)|British Library HMNTS G.18980.(8.)
2743394,,London,1678,L. Curtis,The French Conjuror,"P, ","Porter, Thomas , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002743394,British Library HMNTS 643.d.26.|British Library HMNTS 162.k.54.
2743400,,Yokohama,1874,,"“Our Neighbourhood”; or, Sketches in the Suburbs of Yedo","P, ","Purcell, Theobald Andrew, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002743400,British Library HMNTS 010058.ee.7.
2743491,,London,1857,,A Botanical Tour in the Highlands of Perthshire,"P, ","Pamplin, William, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002743491,British Library HMNTS 10370.c.8.
2743527,,Dublin,1851,Alexander Thom,"Notes of the cruise of the “Caprice” Yacht, Royal St","P, ","Potts, William Trumperant, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002743527,British Library HMNTS 10281.h.5.
2744404,,Lisboa,1892,,Esmeraldo de Situ Orbis ,"Pacheco Pereira, Duarte, ","Azevedo Basto, Raphael Eduardo, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002744404,British Library HMNTS 10005.h.2.
2744695,,Philadelphia,1834,,"Three Years in the Pacific; including notices of Brazil, Chile, Bolivia, and Peru",,"Ruschenberger, William Samuel Waithman, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002744695,British Library HMNTS 1431.k.10.
2744696,[Another edition.],London,1835,,,,"Ruschenberger, William Samuel Waithman, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002744696,British Library HMNTS 1050.h.26.
2745277,,Edinburgh,1868.],[Privately printed,A Packet of Pestilent Pasquils,,"Maidment, James",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002745277,British Library HMNTS 11621.d.7.
2745685,,Madras,1896,Christian Knowledge Society,The Hindu at Home,"Padfield, Joseph Edwin, ","Thurston, Edgar, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002745685,British Library HMNTS 010057.h.11.|British Library OC T 4189
2745847,Third edition.,London,1768,,,,"Bickerstaffe, Isaac, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002745847,British Library HMNTS 643.h.10.(9.)
2746175,,Padova,1842,,Guida di Padova e della sua provincia,,"Cittadella Vigodarzere, Andrea , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002746175,British Library HMNTS 10132.d.21.
