Identifier,Edition Statement,Place of Publication,Date of Publication,Publisher,Title,Author,Contributors,Corporate Author,Corporate Contributors,Former owner,Engraver,Issuance type,Flickr URL,Shelfmarks
2746777,,Napoli,1892-1901,,Studii sulla Calabria di Leopoldo Pagano da Diamante per cura del Prof,"Pagano, Leopoldo, ","Marini, Francesco , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002746777,British Library HMNTS 10132.e.27.
2746830,,London,1863,,A Page from the Peerage,,"Atkins, Anna",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002746830,British Library HMNTS 12629.aa.11.
2746957,,Boston [Mass.],1899,L. C. Page & Co.,Letters of a War Correspondent  ,"Page, Charles A, ","Gilmore, James Roberts, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002746957,British Library HMNTS 09605.cc.2.
2746988,"Third edition, ... enlarged, by C. Lapworth.",Edinburgh,1883,W. Blackwood and Sons,,"Page, David , ","Lapworth, Charles, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002746988,British Library HMNTS 10003.dh.6.
2747008,,Edinburgh,1888,W. Blackwood & Sons,Introductory Text-book of Geology,"Page, David , ","Lapworth, Charles, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002747008,British Library HMNTS 7106.b.42.
2747009,,Edinburgh,1899,W. Blackwood & Sons,An Intermediate Text-Book of Geology,"Page, David , ","Lapworth, Charles, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002747009,British Library HMNTS 07108.eee.7.
2748145,,London,1881,John Murray,The Light Cavalry Brigade in the Crimea,"Paget, George , ","Paget, Cecil Stratford, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002748145,British Library HMNTS 9079.aa.6.
2748204,,London,1839,J. Murray,"Hungary and Transylvania; with remarks on their condition, social, political and economical ","Paget, John , ","Hering, George Edwards, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002748204,British Library HMNTS 1046.k.1.|British Library HMNTS G.16052-53.
2748231,,London,1865,,"Camp and Cantonment: a Journal of Life in India in 1857-1859, with some account of the way thither ","Paget, Leopold Grimston , ","Paget, Leopold Grimston, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002748231,British Library HMNTS 10056.bbb.28.|British Library OC T 2526
2748780,,London,1868,,A Summer in Iceland ,"Paijkull, Carl Wilhelm, ","Barnard, Mordaunt Roger, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002748780,British Library HMNTS 10281.dd.8.
2749023,,London,1897,Osgood & Co.,Saint Eva,"Pain, Amelia, ","Jones, Edward Coley Burne , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002749023,British Library HMNTS 012626.f.51.
2749418,,Boston [Mass.],1812,J. Belcher,"The Works, in verse and prose, of ","Paine, Thomas, Afterwards Robert Treat , ","Prentiss, Charles, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002749418,British Library HMNTS 12272.h.4.
2749433,,New York,1894-96,G. P. Putnam's Sons,The Writings of Thomas Paine,"Paine, Thomas","Conway, Moncure Daniel, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002749433,British Library HMNTS 12274.m.1.
2750084,,Paisley,1882,J. & J. Cook,The Inauguration of the George A,,"Clark, George Aitken",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002750084,British Library HMNTS 10370.ff.10.
2750962,Second edition.,"pp. 15. J. W. Southgate: London, 1839",,,,,"Osborn , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002750962,British Library HMNTS 11649.cc.27.(5.)|British Library HMNTS 10825.cc.23.(1.)
2750963,Ninth edition.,London,1840,,,,"Hastings, Flora Elizabeth Rawdon , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002750963,British Library HMNTS 11602.f.2.(9.)
2752227,,"Санктпетербургъ, 1863",,,"Исторія вмѣшательства Россіи, Англіи, и Франціи въ войну за независимость Греціи: составили Н","Paleolog, N, ","Mel'Nitsky, Vsevolod Petrovich, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002752227,British Library HMNTS 9455.ee.26.
2752228,"[Another edition.] Историческій очеркъ народной войны за независимость Греціи и возстановленія королевства при вмѣшательствѣ великихъ державъ Россіи, Англіи и Франціи. (Приложенія.).","2 том. Санктпетербургъ, 1867",,,,"Paleolog, N, ","Sivinis, A, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002752228,British Library HMNTS 9455.ee.27.
2752632,,London,1893,Lawrence & Bullen,Information for Pilgrims unto the Holy Land,,"Duff, Edward Gordon, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002752632,British Library HMNTS 010077.g.38.
2752638,,"London: Religious Tract Society, [1873.]",,,Lyrics of ancient Palestine,,"Neuville, Alfred De, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002752638,British Library HMNTS 11651.f.14.|British Library HMNTS YA.1998.a.3428.
2752658,,London,1817,J. Johnston,A Pilgrimage to the Holy Land,,"Agg, John, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002752658,British Library HMNTS 11643.bbb.19.(5.)
2753254,,Chapman & Hall,1858,London,"The passionate pilgrim, or Eros and Anteros","Palgrave, Francis Turner, ","Thurstan, Henry J, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002753254,British Library HMNTS 12632.e.25.
2753431,,"Paris [printed], London",1824,,Palingenesia,,"Way, Lewis , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002753431,British Library HMNTS 11642.f.35.|British Library HMNTS 1162.i.28.|British Library HMNTS 764.n.5.
2753914,Second edition.,London,1812,,,"Pallas, Peter Simon","Blagdon, Francis William, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002753914,British Library HMNTS 10290.g.14.
2754140,,Mechelen,1898,,"Beknopte geschiedenis des Boerenkrijgs, October-December 1798 ","Pallemaerts, J, ","Muyldermans, Jacob, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002754140,British Library HMNTS 9406.ee.3.
2754298,,London,1872,,"Mottoes for Monuments, or Epitaphs selected for study or application ","Palliser, Fanny Bury , ","Palliser, M, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002754298,British Library HMNTS 11601.ee.4.
2754769,"2a. edizione, curata dal prof. V. Savorini, con la collaborazione dei signori prof. G. Cherubini, F. Savini, etc.",Teramo,1890-93,,,"Palma, Niccola, ","Cherubini, G, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002754769,British Library HMNTS 10132.k.3.
2754814,,London,1826,Printed for the Author,Greece vindicated; in two letters ,"Palma Di Cesnola, Alerino , ","Emerson, James , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002754814,British Library HMNTS 790.h.18.|British Library HMNTS 08026.e.23.
2755109,,Wrexham?],1899,Printed for the Author,John Wilkinson and the old Bersham Iron Works ,"Palmer, Alfred Neobard, ","Wilkinson, John",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002755109,British Library HMNTS 07108.h.21.
2755607,,London,1846,Jeremiah How,The Wanderings of a Pen and Pencil,"Palmer, Francis Paul, ","Crowquill, Alfred , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002755607,British Library HMNTS 1430.k.2.
2755664,,Great Yarmouth,1887,J. Buckle,The Tolhouse restored ,"Palmer, Frederick Danby, ","Olley, Henry, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002755664,British Library HMNTS 010360.n.4.
2755969,,Manchester,1822,J. Leigh,The History of the Siege of Manchester by the King's Forces ,"Palmer, John , ","Marcoleta, Domingo De, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002755969,British Library HMNTS 9512.h.2.|British Library HMNTS G.4961.
2757055,,London,1873,,The Eruption of Vesuvius in 1872,"Palmieri, Luigi, ","Mallet, Robert , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002757055,British Library HMNTS 7109.d.18.
2757337,,Buenos Aires,1886,,Republica Oriental del Uruguay,"Palomeque, Alberto, ","Santos, MáXimo , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002757337,British Library HMNTS 9772.d.2.
2757539,[Another edition.] With a preface by A. H. Bullen.,London,1884,Reeves & Turner,],"Paltock, Robert","Bullen, Arthur Henry, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002757539,British Library HMNTS 12604.i.11.
2759346,,Reggio,1846-48,,Storia della città di Reggio ,"Panciroli, Guido, ","Viani, Prospero, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002759346,British Library HMNTS 10131.d.11.
2760009,,London,1805,,"The Young Rosciad , an admonitory poem well-seasoned with Attic salt ","Panglos, Peter , ","Betty, William Henry West, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002760009,British Library HMNTS 11641.g.29.
2761285,,Rocca S. Casciano,1895,,"L'Appennino modenese descritto ed illustrato, etc","Pantanelli, Dante, ","Santi, Venceslao, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002761285,British Library HMNTS 10136.i.18.
2761610,,London,1812,"Longman, etc.","A dissertation on that portion of Scotish history termed the Gowry Conspiracy, in which an attempt is made to point out ","Panton, William , ","Ruthven, John , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002761610,British Library HMNTS 9509.h.3.
2762319,,Pécsett,1893,,"A magyar emigránsok Törökországban, 1849-1861","Pap, JáNos , ","Szalczer, SáNdor, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002762319,British Library HMNTS 9314.i.13.
2763231,,"Passaic, N.Y.]",1899,[The News Publishing Co.,The News' History of Passaic,"Pape, William J, ","Scott, William W, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002763231,British Library HMNTS 10408.r.9.
2763295,,Antverpiæ,1845-48,,Annales Antverpienses ab urbe condita ad annum MDCC,"Papenbroeck, Daniel Van, ","Buschmann, Joseph Ernest, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002763295,British Library HMNTS 10270.d.1.
2777080,,London,1894,W. Heinemann,My Paris Note-Book,,"Vandam, Albert Dresden, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002777080,British Library HMNTS 010171.k.12.
2777736,,New York,1852,Harper & Bros.,"Parisian Sights and French Principles, seen through American spectacles",,"Jarves, James Jackson, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002777736,British Library HMNTS 10172.c.13.
2777762,,London,1834,"Whittaker, Treacher, Arnot & Co.",Domestic Manners of the Parisians,,"Peyronnet, Pierre Denis De , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002777762,British Library HMNTS 10175.b.38.
2778222,,London,"1817, 16",John Murray,"Travels in the interior districts of Africa: performed in the years 1795, 1796, and 1797","Park, Mungo , ","Whishaw, John, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002778222,British Library HMNTS 10097.d.7.
2778249,,Berlin und Hamburg,1800,,Reisen im Innern von Afrika ,"Park, Mungo , ","Rennell, James",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002778249,British Library HMNTS 10096.f.18.
2778250,,Hamburg,1807,,"Mungo Park's neueste und letzte Reise ins Innere von Afrika nebst dem Tode dieses merkwürdigen Reisenden, aus seinem Tagebuche ","Park, Mungo , ","Wilkens, Harry, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002778250,British Library HMNTS 10096.f.22.
2778816,,Boston [Mass.],1851,,"The History of Londonderry, comprising the towns of Derry and Londonderry N H","Parker, Edward Lutwyche, ","Parker, Edward P, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002778816,British Library HMNTS 10411.e.16.
2779482,,Wycombe,1878,,The early History and Antiquities of Wycombe in Buckinghamshire,"Parker, John , ","Payne, Edward John",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002779482,British Library HMNTS 10360.i.1.
2779568,,Oxford,1882,Parker & Co.,"The History of Dorchester, Oxfordshire: British earthworks-Roman Camp-Bishopric","Parker, John Henry , ","Macfarlane, Will C, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002779568,British Library HMNTS 10352.c.16.
2779871,,London,1838,,"Journal of an Expedition from Sincapore to Japan, with a visit to Loo-Choo: ","Parker, P, ","Reed, Andrew , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002779871,British Library HMNTS 791.d.20.
2779937,,Published in 66 pts. London,[1851?],E. Lloyd,"Richard Parker, or, the Mutiny at the Nore","Parker, Richard , ","Prest, Thomas Peckett, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002779937,British Library HMNTS 12624.f.25.|British Library HMNTS C.140.c.28.
2780110,,] Birmingham,1876,[Printed for private circulation,On the effects of certain Mental and Bodily States upon the Imagination ,"Parker, Samuel William Langston, ","Bates, William , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002780110,British Library HMNTS 12272.f.19.
2780941,,Home Publishing Co,1889,New York,How I escaped,"Parkins, W, ","Gunter, Archibald Clavering, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002780941,British Library HMNTS 012705.e.56.|British Library HMNTS 12622.m.29.
2781147,,Aberdare,1885,Mills & Lynch,The Celtic Genius,"Parkinson, Joseph Charles , ","Griffiths, John , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002781147,British Library HMNTS 010369.i.3.
2781200,"Fifth edition. Edited, with a biographical sketch of the author, by J. Evans. L.P.",Manchester,1880,A. Heywood & Son,],"Parkinson, Richard , ","Evans, John , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002781200,British Library HMNTS 12620.h.5.
2781218,,London,1805,,The Experienced Farmer's Tour in America: exhibiting the American system of agriculture and breeding of cattle,"Parkinson, Richard , ","Boadley, J, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002781218,British Library HMNTS 979.l.25.
2781356,,enk,1885,MacMillan & Co.,La Salle and the discovery of the Great West ,"Parkman, Francis","Cavelier, René Robert , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002781356,British Library HMNTS 9555.bbb.14.
2782136,,Paris,1883,,Le Discours de la navigation de Jean et Raoul Parmentier de Dieppe,"Parmentier, Jean , ","Parmentier, Raoul, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002782136,British Library HMNTS 10024.i.1/4.
2782284,,London; Oxford [printed],1886,H. Frowde,The Pilgrimage to Parnassus with the two parts of The Return from Parnassus: three comedies performed in St,,"Macray, William Dunn, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002782284,British Library HMNTS 11770.g.6.
2782859,,London,1896,T. Fisher Unwin,New Wheels in Old Ruts,"Parr, Henry , ","Adams, F, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002782859,British Library HMNTS 10350.bbb.48.
2784643,,London,1808,,"Travels in Asia and Africa, etc","Parsons, Abraham, ","Berjew, John Paine, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002784643,British Library HMNTS 10027.h.16.
2785497,,Dublin,1826,W. de Veaux,"The Picture of Parsonstown, in the King's County, containing the history of that town from the earliest period to ",,"Cooke, Thomas L, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002785497,British Library HMNTS 1303.i.8.
2787914,,Dover,[1894],G. Goulden,"Sunny Dover, then and now ","Paske, Charles Thomas, ","Aflalo, Frederick George, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002787914,British Library HMNTS 010358.g.34.
2788161,,Paisley,1893,A. Gardner,The Great Palace at Constantinople ,"Paspates, Alexandros G, ","Metcalfe, William M, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002788161,British Library HMNTS 10125.e.10.
2788359,,Arezzo,1880,,La Cattedrale Aretina e suoi monumenti,"Pasqui, Angiolo , ","Pasqui, Ubaldo, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002788359,British Library HMNTS 10132.g.10.
2788930,,"Санктпетербургъ, 1852",,,Историческія изысканія г,"Passek, Vasily, ","Solov'Ev, Sergei Mikhailovich , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002788930,British Library HMNTS 9455.dd.3.
2790115,,London,1824,,"Il Pastore Incantato; or the Enchanted Shepherd; a drama: Pompeii, and other poems",,"Beldam, Joseph, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002790115,British Library HMNTS 992.k.31.
2791236,"The eighteenth edition ... Remodelled, augmented, and improved ... By E. Mogg.",London,1826,Longman & Co.,,"Paterson, Daniel, ","Mogg, Edward, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002791236,British Library HMNTS 10349.f.1.|British Library HMNTS 579.e.30.
2791603,Second edition.,London,1859,,,"Paterson, William , ","Bannister, Saxe, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002791603,British Library HMNTS 12268.d.2.
2791840,,"E. Nister: London; Nuremberg [printed, 1890]",,,"A Pathway of Flowers, an album for autographs, and ",,"Waithman, Helen Maud, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002791840,British Library HMNTS 11650.g.24.
2792480,New edition.,Edinburgh,1877,,],"Paton, Hugh , ","Kay, John , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002792480,British Library HMNTS 1303.m.14.
2792647,,London,1888,Kegan Paul & Co.,Down the Islands,"Paton, William Agnew, ","Burns, M, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002792647,British Library HMNTS 10470.h.17.
